Question,Answer,Type
427 ÷ 61 = ?,7,除法
面向東方，右轉2個直角，現在面向哪一方？ (A.西方 B.B C.A D.C),A,方向(選擇)
14和8的最小公倍數是？,56,數論
1260 ÷ 28 = ?,45,除法
"按 東,南,西,北 次序輪流進行，第82次是什麼？ (A.甲 B.南 C.西方 D.北方)",B,週期(選擇)
一年有31天的月份有幾個？ (A.18 B.21 C.10 D.7),D,常識(選擇)
19:17 出發，經過90分鐘後到達，到達時間是？,20:47,時間計算
18和19的最小公倍數是？,342,數論
348 - 28 = ?,320,減法
在○裡填上 + 或 - 或 =：7/8 ? 2/8 (A.: B.> C.= D.×),B,分數(選擇)
11升87毫升 = ? 毫升,11087,單位轉換
450 ÷ 25 = ?,18,除法
1449 ÷ 20 = ?,72...9,除法
在○裡填上 + 或 - 或 =：3/7 ? 6/7 (A.: B.> C.√ D.<),D,分數(選擇)
13:41 出發，經過90分鐘後到達，到達時間是？,15:11,時間計算
家中有果78個。媽媽吃了6個後，小文吃了餘下的1/2，現在還剩下多少個果？,36,四則運算
33的6倍是多少？,198,倍數
19的96倍是多少？,1824,乘法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
小明有452元，買文具用去170元，媽媽又給他235元，現在有多少元？,517,四則運算
655 ÷ 25 = ?,26...5,除法
801 - 734 = ?,67,減法
父親今年42歲，兒子今年18歲，在多少年前父親年齡是兒子的3倍？,6,年齡
貨倉原有飲料1045支，上午賣出251支，下午運來220支，現在共有多少支？,1014,四則運算
997 ÷ 45 = ?,22...7,除法
3公里614米 = ? 米,3614,單位轉換
面向東方，右轉2個直角，現在面向哪一方？ (A.西方 B.A C.C D.B),A,方向(選擇)
429 + 357 = ?,786,加法
貨倉原有飲料768支，上午賣出651支，下午運來725支，現在共有多少支？,842,四則運算
50的64倍是多少？,3200,乘法
07:06 出發，經過45分鐘後到達，到達時間是？,07:51,時間計算
52的75倍是多少？,3900,乘法
6的63倍是多少？,378,乘法
現時香港流通紙幣有幾種？ (A.12 B.18 C.24 D.6),D,常識(選擇)
102 + 103 = ?,205,加法
家中有果87個。媽媽吃了6個後，小文吃了餘下的1/3，現在還剩下多少個果？,54,四則運算
199 - 194 = ?,5,減法
在 69012 中，數字「0」表示的數值是？,0,位值
771 - 40 = ?,731,減法
629 - 509 = ?,120,減法
266 + 250 = ?,516,加法
"按 東,南,西,北 次序輪流進行，第68次是什麼？ (A.東方 B.北 C.戊 D.丙)",B,週期(選擇)
每件294元，買6件共需付多少元？,1764元,金錢
一個正方形有多少組平行線？,2,幾何
在○裡填上 + 或 - 或 =：2/6 ? 2/6 (A.< B.: C.× D.=),D,分數(選擇)
家中有果51個。媽媽吃了7個後，小文吃了餘下的1/4，現在還剩下多少個果？,33,四則運算
52 - 51 = ?,1,減法
16 × 55 = ?,880,乘法
列出48的所有因數。,"1,2,3,4,6,8,12,16,24,48",數論
435 - 399 = ?,36,減法
小明有680元，買文具用去478元，媽媽又給他135元，現在有多少元？,337,四則運算
小明有479元，買文具用去152元，媽媽又給他274元，現在有多少元？,601,四則運算
58 × 16 = ?,928,乘法
5厘米8毫米 = ? 毫米,58,單位轉換
在○裡填上 + 或 - 或 =：6/10 ? 4/10 (A.√ B.> C.= D.:),B,分數(選擇)
小明有768元，買文具用去330元，媽媽又給他258元，現在有多少元？,696,四則運算
列出36的所有因數。,"1,2,3,4,6,9,12,18,36",數論
18的76倍是多少？,1368,乘法
65 + 27 = ?,92,加法
9升832毫升 = ? 毫升,9832,單位轉換
838 - 688 = ?,150,減法
19:47 出發，經過60分鐘後到達，到達時間是？,20:47,時間計算
貨倉原有飲料1830支，上午賣出317支，下午運來247支，現在共有多少支？,1760,四則運算
貨倉原有飲料1773支，上午賣出844支，下午運來513支，現在共有多少支？,1442,四則運算
297 - 38 = ?,259,減法
136 + 53 = ?,189,加法
27的41倍是多少？,1107,乘法
在 15351 中，數字「5」表示的數值是？,5000,位值
5766 ÷ 93 = ?,62,除法
14和3的最小公倍數是？,42,數論
872 - 868 = ?,4,減法
每件92元，買5件共需付多少元？,460元,金錢
小明有394元，買文具用去71元，媽媽又給他197元，現在有多少元？,520,四則運算
1276 ÷ 36 = ?,35...16,除法
家中有果34個。媽媽吃了4個後，小文吃了餘下的1/5，現在還剩下多少個果？,24,四則運算
780 - 175 = ?,605,減法
每件127元，買8件共需付多少元？,1016元,金錢
3和18的最小公倍數是？,18,數論
323 - 95 = ?,228,減法
貨倉原有飲料1057支，上午賣出470支，下午運來790支，現在共有多少支？,1377,四則運算
家中有果89個。媽媽吃了5個後，小文吃了餘下的2/4，現在還剩下多少個果？,42,四則運算
351 - 198 = ?,153,減法
小明有764元，買文具用去50元，媽媽又給他228元，現在有多少元？,942,四則運算
1厘米7毫米 = ? 毫米,17,單位轉換
899 - 824 = ?,75,減法
19小時25分 = ? 分,1165,單位轉換
父親今年26歲，兒子今年6歲，在多少年前父親年齡是兒子的5倍？,1,年齡
211 + 216 = ?,427,加法
58的32倍是多少？,1856,乘法
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
4的15倍是多少？,60,乘法
7 ÷ 4 = ?,1...3,除法
37 + 273 = ?,310,加法
268 + 60 = ?,328,加法
50的9倍是多少？,450,倍數
755 - 20 = ?,735,減法
每件10元，買1件共需付多少元？,10元,金錢
71 - 68 = ?,3,減法
在○裡填上 + 或 - 或 =：4/9 ? 6/9 (A.< B.× C.> D.√),A,分數(選擇)
680 - 667 = ?,13,減法
小明有484元，買文具用去281元，媽媽又給他105元，現在有多少元？,308,四則運算
父親今年38歲，兒子今年14歲，在多少年前父親年齡是兒子的3倍？,2,年齡
在 42084 中，數字「4」表示的數值是？,4,位值
每件195元，買1件共需付多少元？,195元,金錢
397 + 148 = ?,545,加法
每件10元，買3件共需付多少元？,30元,金錢
列出60的所有因數。,"1,2,3,4,5,6,10,12,15,20,30,60",數論
列出36的所有因數。,"1,2,3,4,6,9,12,18,36",數論
家中有果93個。媽媽吃了5個後，小文吃了餘下的2/4，現在還剩下多少個果？,44,四則運算
34的82倍是多少？,2788,乘法
57 × 87 = ?,4959,乘法
14米55厘米 = ? 厘米,1455,單位轉換
79的54倍是多少？,4266,乘法
355 + 64 = ?,419,加法
04:52 出發，經過60分鐘後到達，到達時間是？,05:52,時間計算
499 - 49 = ?,450,減法
470 + 131 = ?,601,加法
1米72厘米 = ? 厘米,172,單位轉換
10米4厘米 = ? 厘米,1004,單位轉換
147 + 117 = ?,264,加法
60的因數有哪些？,"1,2,3,4,5,6,10,12,15,20,30,60",因數
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
288 ÷ 25 = ?,11...13,除法
1035 ÷ 11 = ?,94...1,除法
在 99261 中，數字「9」表示的數值是？,90000,位值
13:53 出發，經過90分鐘後到達，到達時間是？,15:23,時間計算
父親今年24歲，兒子今年10歲，在多少年前父親年齡是兒子的3倍？,3,年齡
2升131毫升 = ? 毫升,2131,單位轉換
2776 ÷ 46 = ?,60...16,除法
42公里971米 = ? 米,42971,單位轉換
857 - 230 = ?,627,減法
貨倉原有飲料1234支，上午賣出153支，下午運來947支，現在共有多少支？,2028,四則運算
70 × 41 = ?,2870,乘法
90 + 120 = ?,210,加法
1206 ÷ 18 = ?,67,除法
02:50 出發，經過90分鐘後到達，到達時間是？,04:20,時間計算
4300 ÷ 50 = ?,86,除法
20公斤77克 = ? 克,20077,單位轉換
13米12厘米 = ? 厘米,1312,單位轉換
404 - 111 = ?,293,減法
面向北方，右轉3個直角，現在面向哪一方？ (A.B B.西方 C.A D.C),B,方向(選擇)
16 × 86 = ?,1376,乘法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
父親今年58歲，兒子今年19歲，在多少年前父親年齡是兒子的4倍？,6,年齡
7110 ÷ 90 = ?,79,除法
10和15的最小公倍數是？,30,數論
一年有31天的月份有幾個？ (A.10 B.13 C.14 D.7),D,常識(選擇)
15:48 出發，經過30分鐘後到達，到達時間是？,16:18,時間計算
240 ÷ 8 = ?,30,除法
在 46766 中，數字「6」表示的數值是？,6000,位值
460 + 135 = ?,595,加法
小明有765元，買文具用去374元，媽媽又給他255元，現在有多少元？,646,四則運算
639 - 574 = ?,65,減法
47小時59分 = ? 分,2879,單位轉換
列出48的所有因數。,"1,2,3,4,6,8,12,16,24,48",數論
小明有547元，買文具用去236元，媽媽又給他208元，現在有多少元？,519,四則運算
647 - 131 = ?,516,減法
50小時14分 = ? 分,3014,單位轉換
489 + 35 = ?,524,加法
在○裡填上 + 或 - 或 =：10/12 ? 5/12 (A.√ B.= C.: D.>),D,分數(選擇)
3315 ÷ 34 = ?,97...17,除法
29 × 74 = ?,2146,乘法
"按 甲,乙,丙,丁 次序輪流進行，第76次是什麼？ (A.東方 B.北方 C.戊 D.丁)",D,週期(選擇)
在 34418 中，數字「3」表示的數值是？,30000,位值
992 - 345 = ?,647,減法
3596 ÷ 29 = ?,124,除法
158 - 16 = ?,142,減法
5升527毫升 = ? 毫升,5527,單位轉換
42 × 44 = ?,1848,乘法
322 ÷ 13 = ?,24...10,除法
在○裡填上 + 或 - 或 =：3/11 ? 2/11 (A.: B.√ C.> D.<),C,分數(選擇)
一個梯形有多少組平行線？,1,幾何
14:51 出發，經過90分鐘後到達，到達時間是？,16:21,時間計算
702 - 584 = ?,118,減法
59的98倍是多少？,5782,乘法
437 - 155 = ?,282,減法
96 × 36 = ?,3456,乘法
09:31 出發，經過75分鐘後到達，到達時間是？,10:46,時間計算
95的45倍是多少？,4275,乘法
一個長方形有多少組平行線？,2,幾何
31小時1分 = ? 分,1861,單位轉換
每件161元，買1件共需付多少元？,161元,金錢
小明有403元，買文具用去299元，媽媽又給他243元，現在有多少元？,347,四則運算
每件210元，買6件共需付多少元？,1260元,金錢
19的9倍是多少？,171,倍數
貨倉原有飲料1837支，上午賣出1574支，下午運來563支，現在共有多少支？,826,四則運算
10小時13分 = ? 分,613,單位轉換
06:30 出發，經過90分鐘後到達，到達時間是？,08:00,時間計算
2的14倍是多少？,28,倍數
每件201元，買2件共需付多少元？,402元,金錢
94 × 74 = ?,6956,乘法
01:50 出發，經過15分鐘後到達，到達時間是？,02:05,時間計算
33公里3米 = ? 米,33003,單位轉換
156 + 407 = ?,563,加法
貨倉原有飲料1439支，上午賣出1126支，下午運來818支，現在共有多少支？,1131,四則運算
6和7的最小公倍數是？,42,數論
1232 ÷ 27 = ?,45...17,除法
父親今年11歲，兒子今年5歲，在多少年前父親年齡是兒子的3倍？,2,年齡
280 + 479 = ?,759,加法
04:05 出發，經過90分鐘後到達，到達時間是？,05:35,時間計算
一個長方形有多少組平行線？,2,幾何
7升892毫升 = ? 毫升,7892,單位轉換
"按 東,南,西,北 次序輪流進行，第22次是什麼？ (A.南 B.西方 C.丁 D.東方)",A,週期(選擇)
24的因數有哪些？,"1,2,3,4,6,8,12,24",因數
22:45 出發，經過20分鐘後到達，到達時間是？,23:05,時間計算
9 × 74 = ?,666,乘法
07:17 出發，經過15分鐘後到達，到達時間是？,07:32,時間計算
家中有果47個。媽媽吃了2個後，小文吃了餘下的4/5，現在還剩下多少個果？,9,四則運算
41 × 39 = ?,1599,乘法
每件80元，買5件共需付多少元？,400元,金錢
18升931毫升 = ? 毫升,18931,單位轉換
在 84416 中，數字「8」表示的數值是？,80000,位值
52 - 11 = ?,41,減法
7的14倍是多少？,98,倍數
小明有353元，買文具用去108元，媽媽又給他145元，現在有多少元？,390,四則運算
386 + 348 = ?,734,加法
父親今年23歲，兒子今年8歲，在多少年前父親年齡是兒子的4倍？,3,年齡
父親今年44歲，兒子今年20歲，在多少年前父親年齡是兒子的3倍？,8,年齡
在○裡填上 + 或 - 或 =：6/12 ? 7/12 (A.: B.> C.< D.×),C,分數(選擇)
3厘米3毫米 = ? 毫米,33,單位轉換
父親今年59歲，兒子今年17歲，在多少年前父親年齡是兒子的4倍？,3,年齡
在○裡填上 + 或 - 或 =：5/7 ? 5/7 (A.× B.: C.< D.=),D,分數(選擇)
家中有果71個。媽媽吃了3個後，小文吃了餘下的3/4，現在還剩下多少個果？,17,四則運算
12的62倍是多少？,744,乘法
3138 ÷ 44 = ?,71...14,除法
781 - 106 = ?,675,減法
小明有664元，買文具用去266元，媽媽又給他231元，現在有多少元？,629,四則運算
22:32 出發，經過60分鐘後到達，到達時間是？,23:32,時間計算
6327 ÷ 37 = ?,171,除法
171 ÷ 9 = ?,19,除法
貨倉原有飲料1917支，上午賣出337支，下午運來734支，現在共有多少支？,2314,四則運算
42的40倍是多少？,1680,乘法
9公斤320克 = ? 克,9320,單位轉換
92 × 13 = ?,1196,乘法
01:30 出發，經過90分鐘後到達，到達時間是？,03:00,時間計算
每件261元，買5件共需付多少元？,1305元,金錢
12367 ÷ 83 = ?,149,除法
415 - 100 = ?,315,減法
693 ÷ 49 = ?,14...7,除法
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
"按 東,南,西,北 次序輪流進行，第25次是什麼？ (A.東 B.己 C.戊 D.西方)",A,週期(選擇)
77 ÷ 7 = ?,11,除法
父親今年16歲，兒子今年8歲，在多少年前父親年齡是兒子的5倍？,6,年齡
205 - 96 = ?,109,減法
18:52 出發，經過15分鐘後到達，到達時間是？,19:07,時間計算
小明有315元，買文具用去170元，媽媽又給他250元，現在有多少元？,395,四則運算
在○裡填上 + 或 - 或 =：1/4 ? 3/4 (A.× B.> C.< D.=),C,分數(選擇)
12:21 出發，經過60分鐘後到達，到達時間是？,13:21,時間計算
973 - 518 = ?,455,減法
一個長方形有多少組平行線？,2,幾何
827 ÷ 10 = ?,82...7,除法
9厘米3毫米 = ? 毫米,93,單位轉換
在 60613 中，數字「6」表示的數值是？,600,位值
219 - 99 = ?,120,減法
每件300元，買3件共需付多少元？,900元,金錢
68 + 438 = ?,506,加法
20米69厘米 = ? 厘米,2069,單位轉換
在○裡填上 + 或 - 或 =：4/6 ? 3/6 (A.: B.< C.> D.√),C,分數(選擇)
778 - 597 = ?,181,減法
在○裡填上 + 或 - 或 =：1/10 ? 7/10 (A.< B.> C.× D.=),A,分數(選擇)
3154 ÷ 33 = ?,95...19,除法
499 - 254 = ?,245,減法
每件87元，買4件共需付多少元？,348元,金錢
在○裡填上 + 或 - 或 =：3/11 ? 2/11 (A.< B.> C.: D.√),B,分數(選擇)
709 - 348 = ?,361,減法
338 + 256 = ?,594,加法
貨倉原有飲料599支，上午賣出385支，下午運來491支，現在共有多少支？,705,四則運算
8小時41分 = ? 分,521,單位轉換
15219 ÷ 89 = ?,171,除法
07:42 出發，經過90分鐘後到達，到達時間是？,09:12,時間計算
409 ÷ 35 = ?,11...24,除法
22小時52分 = ? 分,1372,單位轉換
在 67817 中，數字「1」表示的數值是？,10,位值
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
19:36 出發，經過60分鐘後到達，到達時間是？,20:36,時間計算
907 - 844 = ?,63,減法
一個正方形有多少組平行線？,2,幾何
356 + 425 = ?,781,加法
551 ÷ 25 = ?,22...1,除法
278 + 79 = ?,357,加法
639 - 535 = ?,104,減法
45 × 38 = ?,1710,乘法
10公斤802克 = ? 克,10802,單位轉換
11 × 73 = ?,803,乘法
382 ÷ 32 = ?,11...30,除法
593 - 445 = ?,148,減法
101 - 22 = ?,79,減法
小明有404元，買文具用去127元，媽媽又給他140元，現在有多少元？,417,四則運算
657 ÷ 21 = ?,31...6,除法
50 × 51 = ?,2550,乘法
133 + 189 = ?,322,加法
58 + 351 = ?,409,加法
9升151毫升 = ? 毫升,9151,單位轉換
81 × 94 = ?,7614,乘法
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
在○裡填上 + 或 - 或 =：4/11 ? 2/11 (A.= B.> C.× D.:),B,分數(選擇)
在○裡填上 + 或 - 或 =：3/12 ? 6/12 (A.= B.< C.√ D.×),B,分數(選擇)
70的78倍是多少？,5460,乘法
485 ÷ 97 = ?,5,除法
家中有果104個。媽媽吃了2個後，小文吃了餘下的5/6，現在還剩下多少個果？,17,四則運算
小明有482元，買文具用去318元，媽媽又給他121元，現在有多少元？,285,四則運算
264 + 479 = ?,743,加法
12 + 184 = ?,196,加法
小明有464元，買文具用去322元，媽媽又給他237元，現在有多少元？,379,四則運算
83 × 7 = ?,581,乘法
5和14的最小公倍數是？,70,數論
小明有460元，買文具用去296元，媽媽又給他282元，現在有多少元？,446,四則運算
在○裡填上 + 或 - 或 =：6/9 ? 5/9 (A.> B.√ C.× D.<),A,分數(選擇)
貨倉原有飲料1626支，上午賣出842支，下午運來359支，現在共有多少支？,1143,四則運算
小明有454元，買文具用去247元，媽媽又給他137元，現在有多少元？,344,四則運算
250 - 105 = ?,145,減法
04:51 出發，經過90分鐘後到達，到達時間是？,06:21,時間計算
每件225元，買2件共需付多少元？,450元,金錢
971 - 138 = ?,833,減法
在 63623 中，數字「6」表示的數值是？,60000,位值
51 × 23 = ?,1173,乘法
06:10 出發，經過20分鐘後到達，到達時間是？,06:30,時間計算
貨倉原有飲料1122支，上午賣出639支，下午運來797支，現在共有多少支？,1280,四則運算
920 ÷ 46 = ?,20,除法
65 × 54 = ?,3510,乘法
面向南方，左轉3個直角，現在面向哪一方？ (A.西方 B.C C.B D.A),A,方向(選擇)
76的61倍是多少？,4636,乘法
4和8的最小公倍數是？,8,數論
"按 甲,乙,丙,丁 次序輪流進行，第86次是什麼？ (A.西方 B.北方 C.丁 D.乙)",D,週期(選擇)
1053 ÷ 23 = ?,45...18,除法
589 - 321 = ?,268,減法
列出60的所有因數。,"1,2,3,4,5,6,10,12,15,20,30,60",數論
14:21 出發，經過15分鐘後到達，到達時間是？,14:36,時間計算
50 × 37 = ?,1850,乘法
一個長方形有多少組平行線？,2,幾何
在○裡填上 + 或 - 或 =：2/3 ? 2/3 (A.> B.= C.: D.√),B,分數(選擇)
32 × 38 = ?,1216,乘法
128 ÷ 16 = ?,8,除法
家中有果86個。媽媽吃了5個後，小文吃了餘下的2/3，現在還剩下多少個果？,27,四則運算
01:59 出發，經過75分鐘後到達，到達時間是？,03:14,時間計算
2077 ÷ 67 = ?,31,除法
488 + 134 = ?,622,加法
1225 ÷ 49 = ?,25,除法
53 ÷ 5 = ?,10...3,除法
55 ÷ 16 = ?,3...7,除法
289 - 87 = ?,202,減法
小明有546元，買文具用去163元，媽媽又給他274元，現在有多少元？,657,四則運算
14米36厘米 = ? 厘米,1436,單位轉換
280 + 400 = ?,680,加法
一個平行四邊形有多少組平行線？,2,幾何
53 × 49 = ?,2597,乘法
家中有果96個。媽媽吃了2個後，小文吃了餘下的1/2，現在還剩下多少個果？,47,四則運算
父親今年12歲，兒子今年7歲，在多少年前父親年齡是兒子的2倍？,2,年齡
476 - 35 = ?,441,減法
在 28214 中，數字「2」表示的數值是？,20000,位值
36的78倍是多少？,2808,乘法
1099 ÷ 17 = ?,64...11,除法
54 - 20 = ?,34,減法
315 - 52 = ?,263,減法
11公斤623克 = ? 克,11623,單位轉換
11米9厘米 = ? 厘米,1109,單位轉換
3 × 58 = ?,174,乘法
954 - 82 = ?,872,減法
242 + 473 = ?,715,加法
小明有417元，買文具用去73元，媽媽又給他127元，現在有多少元？,471,四則運算
面向北方，右轉1個直角，現在面向哪一方？ (A.C B.A C.B D.東方),D,方向(選擇)
347 + 218 = ?,565,加法
37的15倍是多少？,555,乘法
貨倉原有飲料1813支，上午賣出176支，下午運來733支，現在共有多少支？,2370,四則運算
一個平行四邊形有多少組平行線？,2,幾何
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
92的75倍是多少？,6900,乘法
"按 紅,黃,藍,綠 次序輪流進行，第61次是什麼？ (A.紅 B.A C.B D.C)",A,週期(選擇)
每件44元，買8件共需付多少元？,352元,金錢
542 - 386 = ?,156,減法
貨倉原有飲料1867支，上午賣出1070支，下午運來710支，現在共有多少支？,1507,四則運算
在○裡填上 + 或 - 或 =：4/9 ? 5/9 (A.= B.< C.: D.×),B,分數(選擇)
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
58的90倍是多少？,5220,乘法
21:18 出發，經過75分鐘後到達，到達時間是？,22:33,時間計算
父親今年19歲，兒子今年11歲，在多少年前父親年齡是兒子的2倍？,3,年齡
665 - 386 = ?,279,減法
家中有果78個。媽媽吃了6個後，小文吃了餘下的1/2，現在還剩下多少個果？,36,四則運算
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
貨倉原有飲料853支，上午賣出572支，下午運來310支，現在共有多少支？,591,四則運算
每件263元，買1件共需付多少元？,263元,金錢
84 × 6 = ?,504,乘法
75的88倍是多少？,6600,乘法
377 + 20 = ?,397,加法
229 + 307 = ?,536,加法
家中有果87個。媽媽吃了2個後，小文吃了餘下的2/5，現在還剩下多少個果？,51,四則運算
小明有589元，買文具用去245元，媽媽又給他257元，現在有多少元？,601,四則運算
貨倉原有飲料1733支，上午賣出1458支，下午運來577支，現在共有多少支？,852,四則運算
在 53813 中，數字「5」表示的數值是？,50000,位值
31的8倍是多少？,248,倍數
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
一個平行四邊形有多少組平行線？,2,幾何
499 - 194 = ?,305,減法
736 ÷ 18 = ?,40...16,除法
"按 紅,黃,藍,綠 次序輪流進行，第93次是什麼？ (A.A B.紅 C.B D.C)",B,週期(選擇)
48的因數有哪些？,"1,2,3,4,6,8,12,16,24,48",因數
15厘米3毫米 = ? 毫米,153,單位轉換
一個正方形有多少組平行線？,2,幾何
一年有31天的月份有幾個？ (A.20 B.27 C.14 D.7),D,常識(選擇)
13升623毫升 = ? 毫升,13623,單位轉換
7 × 34 = ?,238,乘法
14公斤617克 = ? 克,14617,單位轉換
225 + 184 = ?,409,加法
一個正方形有多少組平行線？,2,幾何
"按 甲,乙,丙,丁 次序輪流進行，第34次是什麼？ (A.丙 B.戊 C.丁 D.乙)",D,週期(選擇)
1023 ÷ 41 = ?,24...39,除法
33 × 24 = ?,792,乘法
在 98272 中，數字「7」表示的數值是？,70,位值
230 + 231 = ?,461,加法
625 - 580 = ?,45,減法
"按 紅,黃,藍,綠 次序輪流進行，第87次是什麼？ (A.C B.藍 C.A D.B)",B,週期(選擇)
小明有612元，買文具用去395元，媽媽又給他124元，現在有多少元？,341,四則運算
家中有果46個。媽媽吃了4個後，小文吃了餘下的4/6，現在還剩下多少個果？,14,四則運算
30小時59分 = ? 分,1859,單位轉換
34的10倍是多少？,340,乘法
小明有726元，買文具用去610元，媽媽又給他203元，現在有多少元？,319,四則運算
3143 ÷ 32 = ?,98...7,除法
小明有728元，買文具用去613元，媽媽又給他223元，現在有多少元？,338,四則運算
"按 紅,黃,藍,綠 次序輪流進行，第24次是什麼？ (A.綠 B.B C.A D.C)",A,週期(選擇)
154 + 97 = ?,251,加法
家中有果81個。媽媽吃了7個後，小文吃了餘下的1/2，現在還剩下多少個果？,37,四則運算
12 + 145 = ?,157,加法
16:49 出發，經過75分鐘後到達，到達時間是？,18:04,時間計算
2937 ÷ 44 = ?,66...33,除法
29 × 42 = ?,1218,乘法
125 + 36 = ?,161,加法
在○裡填上 + 或 - 或 =：3/8 ? 3/8 (A.= B.× C.> D.√),A,分數(選擇)
小明有620元，買文具用去58元，媽媽又給他300元，現在有多少元？,862,四則運算
36的41倍是多少？,1476,乘法
624 - 145 = ?,479,減法
297 - 188 = ?,109,減法
小明有394元，買文具用去174元，媽媽又給他198元，現在有多少元？,418,四則運算
10 × 45 = ?,450,乘法
300 + 73 = ?,373,加法
7396 ÷ 43 = ?,172,除法
8厘米9毫米 = ? 毫米,89,單位轉換
家中有果30個。媽媽吃了6個後，小文吃了餘下的2/3，現在還剩下多少個果？,8,四則運算
6116 ÷ 44 = ?,139,除法
11:14 出發，經過20分鐘後到達，到達時間是？,11:34,時間計算
7527 ÷ 39 = ?,193,除法
2159 ÷ 23 = ?,93...20,除法
貨倉原有飲料1540支，上午賣出1353支，下午運來398支，現在共有多少支？,585,四則運算
439 + 449 = ?,888,加法
16米40厘米 = ? 厘米,1640,單位轉換
08:20 出發，經過60分鐘後到達，到達時間是？,09:20,時間計算
"按 東,南,西,北 次序輪流進行，第24次是什麼？ (A.乙 B.東方 C.西方 D.北)",D,週期(選擇)
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
每件126元，買4件共需付多少元？,504元,金錢
一個平行四邊形有多少組平行線？,2,幾何
貨倉原有飲料1018支，上午賣出545支，下午運來818支，現在共有多少支？,1291,四則運算
19厘米2毫米 = ? 毫米,192,單位轉換
116 - 77 = ?,39,減法
在 39000 中，數字「0」表示的數值是？,0,位值
每件109元，買3件共需付多少元？,327元,金錢
7448 ÷ 56 = ?,133,除法
472 + 282 = ?,754,加法
729 - 458 = ?,271,減法
46小時26分 = ? 分,2786,單位轉換
20:19 出發，經過15分鐘後到達，到達時間是？,20:34,時間計算
在○裡填上 + 或 - 或 =：2/3 ? 2/3 (A.√ B.: C.= D.×),C,分數(選擇)
一個長方形有多少組平行線？,2,幾何
152 + 374 = ?,526,加法
261 - 115 = ?,146,減法
6816 ÷ 48 = ?,142,除法
小明有617元，買文具用去160元，媽媽又給他172元，現在有多少元？,629,四則運算
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
貨倉原有飲料725支，上午賣出537支，下午運來461支，現在共有多少支？,649,四則運算
小明有678元，買文具用去321元，媽媽又給他179元，現在有多少元？,536,四則運算
22公里815米 = ? 米,22815,單位轉換
小明有743元，買文具用去642元，媽媽又給他183元，現在有多少元？,284,四則運算
列出12的所有因數。,"1,2,3,4,6,12",數論
家中有果63個。媽媽吃了3個後，小文吃了餘下的1/2，現在還剩下多少個果？,30,四則運算
"按 紅,黃,藍,綠 次序輪流進行，第99次是什麼？ (A.A B.C C.藍 D.B)",C,週期(選擇)
40的8倍是多少？,320,倍數
15:20 出發，經過60分鐘後到達，到達時間是？,16:20,時間計算
20公斤763克 = ? 克,20763,單位轉換
632 - 56 = ?,576,減法
81的45倍是多少？,3645,乘法
面向北方，右轉2個直角，現在面向哪一方？ (A.A B.C C.南方 D.B),C,方向(選擇)
在○裡填上 + 或 - 或 =：3/8 ? 5/8 (A.> B.< C.: D.=),B,分數(選擇)
一年有31天的月份有幾個？ (A.26 B.9 C.7 D.17),C,常識(選擇)
貨倉原有飲料1854支，上午賣出382支，下午運來768支，現在共有多少支？,2240,四則運算
早餐從主食3種、飲品3種中各選一種，共有多少種組合？,9,組合
96 ÷ 32 = ?,3,除法
2937 ÷ 33 = ?,89,除法
581 - 141 = ?,440,減法
列出60的所有因數。,"1,2,3,4,5,6,10,12,15,20,30,60",數論
530 - 66 = ?,464,減法
25的25倍是多少？,625,乘法
50 - 38 = ?,12,減法
22的19倍是多少？,418,乘法
20公里619米 = ? 米,20619,單位轉換
71 × 31 = ?,2201,乘法
936 - 891 = ?,45,減法
1701 ÷ 23 = ?,73...22,除法
316 - 106 = ?,210,減法
33的2倍是多少？,66,乘法
早餐從飲品3種、主食3種中各選一種，共有多少種組合？,9,組合
832 - 473 = ?,359,減法
父親今年46歲，兒子今年16歲，在多少年前父親年齡是兒子的3倍？,1,年齡
127 - 11 = ?,116,減法
09:28 出發，經過90分鐘後到達，到達時間是？,10:58,時間計算
貨倉原有飲料1356支，上午賣出126支，下午運來674支，現在共有多少支？,1904,四則運算
貨倉原有飲料1821支，上午賣出795支，下午運來951支，現在共有多少支？,1977,四則運算
小明有441元，買文具用去301元，媽媽又給他194元，現在有多少元？,334,四則運算
25小時29分 = ? 分,1529,單位轉換
家中有果102個。媽媽吃了6個後，小文吃了餘下的3/4，現在還剩下多少個果？,24,四則運算
12公斤397克 = ? 克,12397,單位轉換
192 + 51 = ?,243,加法
一個長方形有多少組平行線？,2,幾何
家中有果38個。媽媽吃了2個後，小文吃了餘下的1/2，現在還剩下多少個果？,18,四則運算
